Signatur;PID;Mappe;Seiten XML;lokal;METS;Backup;GAMS-URLs;Bildmasse;Objekttyp;Autor;Datum;Sprache METS;Sprache erkannt;Transkribiert;Befund
SZ-AAL/B1.1;o:szd.3020;SZ_AAL_B1.1;3;3;3;3;OK;OK;Brief;Zweig, Lotte;20.12.1938;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.10;o:szd.3021;SZ_AAL_B1.10;5;5;5;5;OK;OK;Brief;Zweig, Stefan;29.1.1940;Deutsch (pauschal);de;ja;OK
SZ-AAL/B1.100;o:szd.3022;SZ_AAL_B1.100;5;5;5;5;OK;OK;Brief;Zweig, Lotte;15.2.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.101;o:szd.3023;SZ_AAL_B1.101;3;3;3;3;OK;OK;Brief;Zweig, Lotte;17.2.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.102;o:szd.3024;SZ_AAL_B1.102;3;3;3;3;OK;OK;Brief;Zweig, Stefan;02.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.103;o:szd.3025;SZ_AAL_B1.103;7;7;7;7;OK;OK;Brief;Zweig, Lotte;7.3.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.104;o:szd.3026;SZ_AAL_B1.104;5;5;5;5;OK;OK;Brief;Zweig, Stefan;12.3.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.105;o:szd.3027;SZ_AAL_B1.105;3;3;3;3;OK;OK;Brief;Zweig, Lotte;13.3.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.106;o:szd.3028;SZ_AAL_B1.106;3;3;3;3;OK;OK;Brief;Zweig, Lotte;13.3.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.107;o:szd.3029;SZ_AAL_B1.107;3;3;3;3;OK;OK;Brief;Zweig, Lotte;19.3.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.108;o:szd.3030;SZ_AAL_B1.108;5;5;5;5;OK;OK;Brief;Zweig, Stefan;31.3.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.109;o:szd.3031;SZ_AAL_B1.109;2;2;2;2;OK;OK;Brief;Zweig, Lotte;04.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.109a;o:szd.3032;SZ_AAL_B1.109a;3;3;3;3;OK;OK;Brieffragment;Zweig, Lotte;04.1941;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.11;o:szd.3033;SZ_AAL_B1.11;3;3;3;3;OK;OK;Postkarte;Zweig, Stefan;4.4.1940;Deutsch (pauschal);en;ja;OK
SZ-AAL/B1.110;o:szd.3034;SZ_AAL_B1.110;7;7;7;7;OK;OK;Brief;BRIEFE GEHÖREN NICHT ZUSAMMEN!;-;Deutsch (pauschal);en;ja;"Autor unueblich: 'BRIEFE GEHÖREN NICHT ZUSAMMEN!'; Datum leer"
SZ-AAL/B1.111;o:szd.3035;SZ_AAL_B1.111;3;3;3;3;OK;OK;Brief;Zweig, Stefan;04.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.112;o:szd.3036;SZ_AAL_B1.112;3;3;3;3;OK;OK;Brief;Zweig, Stefan;4.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.113;o:szd.3037;SZ_AAL_B1.113;3;3;3;3;OK;OK;Brief;Zweig, Stefan;5.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.114;o:szd.3038;SZ_AAL_B1.114;5;5;5;5;OK;OK;Brief;Zweig, Lotte;5.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.115;o:szd.3039;SZ_AAL_B1.115;3;3;3;3;OK;OK;Brief;Zweig, Stefan;10.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.116;o:szd.3040;SZ_AAL_B1.116;3;3;3;3;OK;OK;Brief;Zweig, Lotte;10.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.117;o:szd.3041;SZ_AAL_B1.117;5;5;5;5;OK;OK;Brief;Zweig, Stefan;04.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.118;o:szd.3042;SZ_AAL_B1.118;3;3;3;3;OK;OK;Brief;Zweig, Lotte;16.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.119;o:szd.3043;SZ_AAL_B1.119;5;5;5;5;OK;OK;Brief;Zweig, Lotte;18.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.12;o:szd.3044;SZ_AAL_B1.12;3;3;3;3;OK;OK;Brief;Zweig, Stefan;1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.120;o:szd.3045;SZ_AAL_B1.120;5;5;5;5;OK;OK;Brief;Zweig, Lotte;25.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.121;o:szd.3046;SZ_AAL_B1.121;3;3;3;3;OK;OK;Brief;Zweig, Lotte;29.4.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.122;o:szd.3047;SZ_AAL_B1.122;5;5;5;5;OK;OK;Brief;Zweig, Stefan;04.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.123;o:szd.3048;SZ_AAL_B1.123;3;3;3;3;OK;OK;Brief;Zweig, Stefan;04.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.124;o:szd.3049;SZ_AAL_B1.124;7;7;7;7;OK;OK;Brief;Zweig, Stefan;6.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.125;o:szd.3050;SZ_AAL_B1.125;5;5;5;5;OK;OK;Brief;Zweig, Lotte;8.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.126;o:szd.3051;SZ_AAL_B1.126;4;4;4;4;OK;OK;Brief;Zweig, Stefan;12.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.127;o:szd.3052;SZ_AAL_B1.127;3;3;3;3;OK;OK;Brief;Zweig, Lotte;14.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.128;o:szd.3053;SZ_AAL_B1.128;3;3;3;3;OK;OK;Brief;Zweig, Stefan;05.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.129;o:szd.3054;SZ_AAL_B1.129;5;5;5;5;OK;OK;Brief;Zweig, Stefan;18.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.13;o:szd.3055;SZ_AAL_B1.13;3;3;3;3;OK;OK;Brief;Zweig, Stefan;1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.130;o:szd.3056;SZ_AAL_B1.130;3;3;3;3;OK;OK;Brief;Zweig, Lotte;18.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.131;o:szd.3057;SZ_AAL_B1.131;3;3;3;3;OK;OK;Brief;Zweig, Stefan;05.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.132;o:szd.3058;SZ_AAL_B1.132;5;5;5;5;OK;OK;Brief;Zweig, Lotte;14.5.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.133;o:szd.3059;SZ_AAL_B1.133;5;5;5;5;OK;OK;Brief;Zweig, Lotte;1.6.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.134;o:szd.3060;SZ_AAL_B1.134;3;3;3;3;OK;OK;Brief;Zweig, Lotte;2.6.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.135;o:szd.3061;SZ_AAL_B1.135;3;3;3;3;OK;OK;Brief;Zweig, Stefan;06.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.136;o:szd.3062;SZ_AAL_B1.136;5;5;5;5;OK;OK;Brief;Zweig, Stefan;2.6.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.137;o:szd.3063;SZ_AAL_B1.137;5;5;5;5;OK;OK;Brief;Zweig, Stefan;8.6.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.138;o:szd.3064;SZ_AAL_B1.138;3;3;3;3;OK;OK;Brief;Zweig, Lotte;17.6.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.139;o:szd.3065;SZ_AAL_B1.139;3;3;3;3;OK;OK;Brief;Zweig, Lotte;20.6.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.14;o:szd.3066;SZ_AAL_B1.14;5;5;5;5;OK;OK;Brief;Zweig, Lotte;12.1939;Deutsch (pauschal);-;nein;OK
